CODIGO ;NOMBRE O DENOMINACION;CLASIFICACION
1;ACTIVO ;CLASE
11;DISPONIBLE ;GRUPO
1105;CAJA ;CUENTA
110505;CAJA GENERAL ;SUBCUENTA
11050501;CAJA GENERAL DE LA CIUDAD DE BOGOta;
110510;CAJAS MENORES ;SUBCUENTA
110515;MONEDA EXTRANJERA ;SUBCUENTA
1110;BANCOS ;CUENTA
111005;MONEDA NACIONAL ;SUBCUENTA
111010;MONEDA EXTRANJERA ;SUBCUENTA
1115;REMESAS EN TRANSITO ;CUENTA
111505;MONEDA NACIONAL ;SUBCUENTA
111510;MONEDA EXTRANJERA ;SUBCUENTA
1120;CUENTAS DE AHORRO ;CUENTA
112005;BANCOS ;SUBCUENTA
112010;CORPORACIONES DE AHORRO Y VIVIENDA ;SUBCUENTA
112015;ORGANISMOS COOPERATIVOS FINANCIEROS ;SUBCUENTA
1125;FONDOS ;CUENTA
112505;ROTATORIOS MONEDA NACIONAL ;SUBCUENTA
112510;ROTATORIOS MONEDA EXTRANJERA ;SUBCUENTA
112515;ESPECIALES MONEDA NACIONAL ;SUBCUENTA
112520;ESPECIALES MONEDA EXTRANJERA ;SUBCUENTA
112525;DE AMORTIZACION MONEDA NACIONAL ;SUBCUENTA
112530;DE AMORTIZACION MONEDA EXTRANJERA ;SUBCUENTA
12;INVERSIONES ;GRUPO
1205;ACCIONES ;CUENTA
120505;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA ;SUBCUENTA
120510;PESCA ;SUBCUENTA
120515;EXPLOTACION DE MINAS Y CANTERAS ;SUBCUENTA
120520;INDUSTRIA MANUFACTURERA ;SUBCUENTA
120525;SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA ;SUBCUENTA
120530;CONSTRUCCION ;SUBCUENTA
120535;COMERCIO AL POR MAYOR Y AL POR MENOR ;SUBCUENTA
120540;HOTELES Y RESTAURANTES ;SUBCUENTA
120545;TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES ;SUBCUENTA
120550;ACTIVIDAD FINANCIERA ;SUBCUENTA
120555;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER ;SUBCUENTA
120560;ENSEÑANZA ;SUBCUENTA
120565;SERVICIOS SOCIALES Y DE SALUD ;SUBCUENTA
120570;OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES ;SUBCUENTA
120599;AJUSTES POR INFLACION ;SUBCUENTA
1210;CUOTAS O PARTES DE INTERES SOCIAL ;CUENTA
121005;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA ;SUBCUENTA
121010;PESCA ;SUBCUENTA
121015;EXPLOTACION DE MINAS Y CANTERAS ;SUBCUENTA
121020;INDUSTRIA MANUFACTURERA ;SUBCUENTA
121025;SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA ;SUBCUENTA
121030;CONSTRUCCION ;SUBCUENTA
121035;COMERCIO AL POR MAYOR Y AL POR MENOR ;SUBCUENTA
121040;HOTELES Y RESTAURANTES ;SUBCUENTA
121045;TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES ;SUBCUENTA
121050;ACTIVIDAD FINANCIERA ;SUBCUENTA
121055;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER ;SUBCUENTA
121060;ENSEÑANZA ;SUBCUENTA
121065;SERVICIOS SOCIALES Y DE SALUD ;SUBCUENTA
121070;OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES ;SUBCUENTA
121099;AJUSTES POR INFLACION ;SUBCUENTA
1215;BONOS ;CUENTA
121505;BONOS PUBLICOS MONEDA NACIONAL ;SUBCUENTA
121510;BONOS PUBLICOS MONEDA EXTRANJERA ;SUBCUENTA
121515;BONOS ORDINARIOS ;SUBCUENTA
121520;BONOS CONVERTIBLES EN ACCIONES ;SUBCUENTA
121595;OTROS ;SUBCUENTA
1220;CEDULAS ;CUENTA
122005;CEDULAS DE CAPITALIZACION ;SUBCUENTA
122010;CEDULAS HIPOTECARIAS ;SUBCUENTA
122015;CEDULAS DE INVERSION ;SUBCUENTA
122095;OTRAS ;SUBCUENTA
1225;CERTIFICADOS ;CUENTA
122505;CERTIFICADOS DE DEPOSITO A TERMINO (C.D.T.) ;SUBCUENTA
122510;CERTIFICADOS DE DEPOSITO DE AHORRO ;SUBCUENTA
122515;CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (C.A.V.C.) ;SUBCUENTA
122520;CERTIFICADOS DE CAMBIO ;SUBCUENTA
122525;CERTIFICADOS CAFETEROS VALORIZABLES ;SUBCUENTA
122530;CERTIFICADOS ELECTRICOS VALORIZABLES (C.E.V.) ;SUBCUENTA
122535;CERTIFICADOS DE REEMBOLSO TRIBUTARIO (C.E.R.T.) ;SUBCUENTA
122540;CERTIFICADOS DE DESARROLLO TURISTICO ;SUBCUENTA
122545;CERTIFICADOS DE INVERSION FORESTAL (C.I.F.) ;SUBCUENTA
122595;OTROS ;SUBCUENTA
1230;PAPELES COMERCIALES ;CUENTA
123005;EMPRESAS COMERCIALES ;SUBCUENTA
123010;EMPRESAS INDUSTRIALES ;SUBCUENTA
123015;EMPRESAS DE SERVICIOS ;SUBCUENTA
1235;TITULOS ;CUENTA
123505;TITULOS DE DESARROLLO AGROPECUARIO ;SUBCUENTA
123510;TITULOS CANJEABLES POR CERTIFICADOS DE CAMBIO ;SUBCUENTA
123515;TITULOS DE TESORERIA (T.E.S.) ;SUBCUENTA
123520;TITULOS DE PARTICIPACION ;SUBCUENTA
123525;TITULOS DE CREDITO DE FOMENTO ;SUBCUENTA
123530;TITULOS FINANCIEROS AGROINDUSTRIALES (T.F.A.) ;SUBCUENTA
123535;TITULOS DE AHORRO CAFETERO (T.A.C.) ;SUBCUENTA
123540;TITULOS DE AHORRO NACIONAL (T.A.N.) ;SUBCUENTA
123545;TITULOS ENERGETICOS DE RENTABILIDAD CRECIENTE (T.E.R.) ;SUBCUENTA
123550;TITULOS DE AHORRO EDUCATIVO (T.A.E.) ;SUBCUENTA
123555;TITULOS FINANCIEROS INDUSTRIALES Y COMERCIALES ;SUBCUENTA
123560;TESOROS ;SUBCUENTA
123565;TITULOS DE DEVOLUCION DE IMPUESTOS NACIONALES (TIDIS) ;SUBCUENTA
123570;TITULOS INMOBILIARIOS ;SUBCUENTA
123595;OTROS ;SUBCUENTA
1240;ACEPTACIONES BANCARIAS O FINANCIERAS ;CUENTA
124005;BANCOS COMERCIALES ;SUBCUENTA
124010;COMPAÑIAS DE FINANCIAMIENTO COMERCIAL ;SUBCUENTA
124015;CORPORACIONES FINANCIERAS ;SUBCUENTA
124095;OTRAS ;SUBCUENTA
1245;DERECHOS FIDUCIARIOS ;CUENTA
124505;FIDEICOMISOS DE INVERSION MONEDA NACIONAL ;SUBCUENTA
124510;FIDEICOMISOS DE INVERSION MONEDA EXTRANJERA ;SUBCUENTA
1250;DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS) ;CUENTA
125005;ACCIONES ;SUBCUENTA
125010;CUOTAS O PARTES DE INTERES SOCIAL ;SUBCUENTA
125015;BONOS ;SUBCUENTA
125020;CEDULAS ;SUBCUENTA
125025;CERTIFICADOS ;SUBCUENTA
125030;PAPELES COMERCIALES ;SUBCUENTA
125035;TITULOS ;SUBCUENTA
125040;ACEPTACIONES BANCARIAS O FINANCIERAS 125095 OTROS ;SUBCUENTA
125099;AJUSTES POR INFLACION ;SUBCUENTA
1255;OBLIGATORIAS ;CUENTA
125505;BONOS DE FINANCIAMIENTO ESPECIAL ;SUBCUENTA
125510;BONOS DE FINANCIAMIENTO PRESUPUESTAL ;SUBCUENTA
125515;BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (B.D.S.I.) ;SUBCUENTA
125595;OTRAS ;SUBCUENTA
1260;CUENTAS EN PARTICIPACION ;CUENTA
126001 a 126098 ;;
126099;AJUSTES POR INFLACION ;SUBCUENTA
1295;OTRAS INVERSIONES ;CUENTA
129505;APORTES EN COOPERATIVAS ;SUBCUENTA
129510;DERECHOS EN CLUBES SOCIALES ;SUBCUENTA
129515;ACCIONES O DERECHOS EN CLUBES DEPORTIVOS ;SUBCUENTA
129520;BONOS EN COLEGIOS ;SUBCUENTA
129595;DIVERSAS ;SUBCUENTA
129599;AJUSTES POR INFLACION ;SUBCUENTA
1299;PROVISIONES ;CUENTA
129905;ACCIONES ;SUBCUENTA
129910;CUOTAS O PARTES DE INTERES SOCIAL ;SUBCUENTA
129915;BONOS ;SUBCUENTA
129920;CEDULAS ;SUBCUENTA
129925;CERTIFICADOS ;SUBCUENTA
129930;PAPELES COMERCIALES ;SUBCUENTA
129935;TITULOS ;SUBCUENTA
129940;ACEPTACIONES BANCARIAS O FINANCIERAS ;SUBCUENTA
129945;DERECHOS FIDUCIARIOS ;SUBCUENTA
129950;DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS ;SUBCUENTA
129955;OBLIGATORIAS ;SUBCUENTA
129960;CUENTAS EN PARTICIPACION ;SUBCUENTA
129995;OTRAS INVERSIONES ;SUBCUENTA
13;DEUDORES ;GRUPO
1305;CLIENTES ;CUENTA
130505;NACIONALES ;SUBCUENTA
130510;DEL EXTERIOR ;SUBCUENTA
130515;DEUDORES DEL SISTEMA ;SUBCUENTA
1310;CUENTAS CORRIENTES COMERCIALES ;CUENTA
131005;CASA MATRIZ ;SUBCUENTA
131010;COMPAÑIAS VINCULADAS ;SUBCUENTA
131015;ACCIONISTAS O SOCIOS ;SUBCUENTA
131020;PARTICULARES ;SUBCUENTA
131095;OTRAS ;SUBCUENTA
